date,temperature,humidity,luminosity
2023-12-07 15:51:16.163,20.5,39.2,223
2023-12-07 15:51:15.155,20.5,39.2,222
2023-12-07 15:51:14.152,20.5,39.2,222
2023-12-07 15:51:13.144,20.5,39.2,222
2023-12-07 15:51:12.140,20.5,39.2,223
2023-12-07 15:51:11.132,20.5,39.2,222
2023-12-07 15:51:10.129,20.5,39.2,220
2023-12-07 15:51:09.121,20.5,39.2,222
2023-12-07 15:51:08.118,20.5,39.2,223
2023-12-07 15:51:07.110,20.5,39.2,222
2023-12-07 15:51:06.106,20.5,39.2,222
2023-12-07 15:51:05.099,20.5,39.2,220
2023-12-07 15:51:04.099,20.5,39.2,223
2023-12-07 15:51:03.087,20.5,39.2,223
2023-12-07 15:51:02.087,20.5,39.2,222
2023-12-07 15:51:01.076,20.5,39.2,222
2023-12-07 15:51:00.076,20.5,39.2,222
2023-12-07 15:50:59.065,20.5,39.2,223
2023-12-07 15:50:58.065,20.5,39.2,222
2023-12-07 15:50:57.057,20.5,39.2,220
2023-12-07 15:50:56.054,20.5,39.2,222
2023-12-07 15:50:55.046,20.5,39.3,223
2023-12-07 15:50:54.043,20.5,39.3,223
2023-12-07 15:50:53.035,20.5,39.3,223
2023-12-07 15:50:52.031,20.5,39.3,223
2023-12-07 15:50:51.023,20.5,39.3,223
2023-12-07 15:50:50.020,20.5,39.3,223
2023-12-07 15:50:49.012,20.5,39.3,223
2023-12-07 15:50:48.009,20.5,39.3,222
2023-12-07 15:50:47.001,20.5,39.3,223
2023-12-07 15:50:45.997,20.5,39.3,225
2023-12-07 15:50:44.990,20.4,39.2,223
2023-12-07 15:50:43.986,20.4,39.2,223
2023-12-07 15:50:42.978,20.5,39.3,222
2023-12-07 15:50:41.975,20.5,39.3,222
2023-12-07 15:50:40.967,20.5,39.3,223
2023-12-07 15:50:39.963,20.5,39.3,223
2023-12-07 15:50:38.955,20.5,39.3,225
2023-12-07 15:50:37.952,20.5,39.3,222
2023-12-07 15:50:36.944,20.5,39.3,222
2023-12-07 15:50:35.945,20.5,39.3,223
2023-12-07 15:50:34.933,20.5,39.3,223
2023-12-07 15:50:33.934,20.5,39.3,223
2023-12-07 15:50:32.922,20.5,39.3,223
2023-12-07 15:50:31.922,20.5,39.3,223
2023-12-07 15:50:30.911,20.5,39.3,223
2023-12-07 15:50:29.911,20.5,39.3,223
2023-12-07 15:50:28.899,20.5,39.3,223
2023-12-07 15:50:27.899,20.5,39.3,223
2023-12-07 15:50:26.892,20.5,39.3,222
2023-12-07 15:50:25.888,20.5,39.3,223
2023-12-07 15:50:24.881,20.5,39.3,225
2023-12-07 15:50:23.877,20.5,39.3,225
2023-12-07 15:50:22.869,20.5,39.3,223
2023-12-07 15:50:21.866,20.5,39.3,222
2023-12-07 15:50:20.858,20.5,39.3,223
2023-12-07 15:50:19.854,20.5,39.3,223
